state,Latitude,Longitude,01-05-2020,02-05-2020,03-05-2020,04-05-2020,05-05-2020,06-05-2020,07-05-2020,08-05-2020,09-05-2020,10-05-2020,11-05-2020,12-05-2020,13-05-2020,14-05-2020,15-05-2020,16-05-2020,17-05-2020,18-05-2020,19-05-2020,20-05-2020,21-05-2020,22-05-2020,23-05-2020,24-05-2020,25-05-2020,26-05-2020,27-05-2020,28-05-2020,29-05-2020,30-05-2020,31-05-2020,01-06-2020,02-06-2020,03-06-2020,04-06-2020,05-06-2020,06-06-2020,07-06-2020,08-06-2020,09-06-2020,10-06-2020,11-06-2020,12-06-2020,13-06-2020,14-06-2020,15-06-2020,16-06-2020,17-06-2020,18-06-2020,19-06-2020,20-06-2020,21-06-2020,22-06-2020,23-06-2020,24-06-2020,25-06-2020,26-06-2020,27-06-2020,28-06-2020,29-06-2020,30-06-2020,01-07-2020,02-07-2020,03-07-2020,04-07-2020,05-07-2020,06-07-2020,07-07-2020,08-07-2020,09-07-2020,10-07-2020,11-07-2020,12-07-2020,13-07-2020,14-07-2020,15-07-2020,16-07-2020,17-07-2020,18-07-2020,19-07-2020,20-07-2020,21-07-2020
Haryana,28.45,77.02,209,227,227,245,254,256,260,260,279,290,300,337,342,418,439,439,514,562,598,627,648,681,706,750,765,765,824,838,881,940,971,1048,1055,1069,1089,2134,2134,2134,2134,2134,2134,2188,2260,2475,2803,3003,3565,3748,3952,4556,4889,4889,5128,5557,5916,6498,6925,8016,8472,8917,9502,9502,10499,11019,11019,12257,12257,13335,13645,14106,14510,14904,15394,15983,16602,17090,17667,17667,17667,19318,19793,20226
Himachal Pradesh,31.1,77.1666,28,30,33,34,34,38,38,38,38,38,39,39,39,39,39,39,43,44,44,47,54,59,59,61,63,67,67,70,70,87,111,120,122,140,150,179,189,194,224,227,249,254,280,297,313,337,353,372,372,382,388,413,425,437,443,466,502,509,529,556,556,556,614,628,704,704,704,763,790,833,846,883,908,929,940,951,979,979,979,1036,1059,1067
Jammu and Kashmir,34.3,74.4667,216,247,254,287,303,320,322,335,364,368,383,427,455,466,485,513,542,575,609,653,678,684,720,774,809,809,833,854,859,875,908,927,946,953,1007,1048,1086,1126,1216,1324,1506,1671,1820,2086,2269,2389,2604,2781,2914,3144,3194,3336,3382,3531,3642,3818,4080,4225,4316,4585,4585,4585,4856,4974,4974,5143,5143,5318,5399,5567,5695,5786,5895,5979,6095,6223,6337,6337,6337,7165,7811,8274
Jharkhand,23.8004,86.42,20,20,22,22,27,33,37,41,52,78,78,78,79,79,87,87,113,113,113,127,127,129,136,141,148,148,175,185,212,216,256,256,296,320,321,354,410,473,490,519,559,592,630,672,816,905,905,1121,1151,1198,1332,1335,1406,1469,1520,1570,1643,1724,1793,1845,1845,1845,1931,1983,1983,2035,2035,2068,2104,2170,2208,2224,2243,2308,2351,2427,2485,2485,2485,2611,2716,2810
Karnataka,12.5704,76.92,229,251,271,293,321,331,354,366,376,386,424,426,433,451,460,480,496,509,530,544,556,571,597,608,654,705,748,781,834,894,997,1218,1328,1403,1514,1610,1688,1968,2132,2519,2604,2862,2977,3440,3648,3955,4135,4456,4804,4983,5210,5391,5618,5730,6004,6151,6151,6916,7287,7507,7683,7683,8063,8334,8334,9244,9244,10527,11098,11876,12833,13836,14716,15409,16248,17390,18466,18466,18466,21775,23065,23795
Kerala,8.9004,76.57,383,392,400,401,462,462,469,474,484,485,489,489,489,490,491,492,495,497,497,497,502,510,512,515,521,532,542,552,555,565,575,590,608,627,651,690,712,762,803,814,848,905,968,1000,1046,1102,1175,1236,1326,1415,1511,1568,1661,1749,1809,1888,2008,2110,2152,2152,2439,2439,2439,2640,2640,3048,3048,3341,3452,3559,3708,3820,3963,4095,4257,4438,4634,4634,4634,5199,5371,5616
Ladakh,34.2996,78.2932,16,17,17,17,17,17,17,17,17,17,21,21,21,22,22,22,22,24,41,43,43,43,43,43,43,43,43,43,43,43,43,43,43,47,48,48,48,48,50,52,52,52,54,62,68,80,82,85,92,95,95,117,134,136,148,274,358,554,586,616,616,694,730,730,826,826,826,836,836,836,915,917,928,928,946,946,964,964,964,985,1003,1007
Madhya Pradesh,21.3004,76.13,482,524,624,798,798,1000,1099,1231,1349,1676,1676,1747,1860,2004,2171,2283,2315,2403,2435,2630,2733,2843,3089,3267,3408,3571,3689,3927,4050,4269,4444,4842,5003,5221,5445,5637,5878,6108,6331,6536,6729,6892,7042,7201,7377,7677,7903,8152,8388,8632,8748,8880,9015,9215,9335,9473,9804,9971,10084,10199,10655,10655,10815,11234,11234,11579,11768,11987,12232,12481,12481,12679,12876,13208,13208,13575,13908,13908,13908,14864,15311,15684
Maharashtra,19.2502,73.1602,1773,1879,2000,2115,2465,2819,3094,3301,3470,3800,4199,4786,5125,5547,6059,6564,7088,7688,8437,9639,10318,11726,12583,13404,14600,15786,16954,17918,18616,26997,28081,29329,30108,31333,32329,33681,35156,37390,39314,40975,42638,44517,46078,47796,49346,50978,56049,57851,59166,60838,62773,64153,65744,67706,69631,73792,73792,79815,84245,86575,88960,88960,93154,101172,101172,108082,108082,115262,118558,123192,127259,132625,136985,140325,144507,149007,152613,152613,152613,165663,169569,175029
Manipur,24.8,93.95,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,5,8,8,11,11,14,38,38,41,52,52,58,61,63,73,77,91,91,151,159,192,199,218,232,250,250,258,328,328,393,432,455,494,579,617,667,734,771,793,799,832,843,896,970,970,989,989,970,989,989,989,1182,1213,1307
